,Year,State,Electric_(EV),Plug-In_Hybrid_Electric_(PHEV),Hybrid_Electric_(HEV),Electric_Hybrid_Vehicles_Total,Gasoline,Total_Vehicles,EV_Hybrid_Ratio,Policy_Count
0,2016,Alabama,500,900,29100,30500,3777300,3807800,0.00800987446819686,1.0
1,2016,Alaska,200,200,5000,5400,525900,531300,0.010163749294184076,0.0
2,2016,Arizona,4700,4400,89600,98700,4805000,4903700,0.020127658706690865,2.0
3,2016,Arkansas,200,500,19100,19800,2097800,2117600,0.009350207782395164,0.0
4,2016,California,141500,116700,966700,1224900,27241000,28465900,0.04303043290393067,4.0
5,2016,Colorado,5300,3800,74000,83100,4180500,4263600,0.019490571348156488,3.0
6,2016,Connecticut,2000,2800,43200,48000,2690900,2738900,0.017525283873087737,0.0
7,2016,Delaware,300,700,11200,12200,749800,762000,0.016010498687664042,1.0
8,2016,District of Columbia,600,500,11800,12900,277800,290700,0.04437564499484004,1.0
9,2016,Florida,11600,10100,207100,228800,13929200,14158000,0.0161604746433112,2.0
10,2016,Georgia,18000,4000,86400,108400,7377700,7486100,0.014480169914908964,1.0
11,2016,Hawaii,4200,1200,22600,28000,953300,981300,0.02853357790685825,1.0
12,2016,Idaho,400,600,16300,17300,1354300,1371600,0.012613006707494897,1.0
13,2016,Illinois,5800,6000,146500,158300,8748600,8906900,0.017772737989648475,2.0
14,2016,Indiana,1300,2400,54500,58200,4855200,4913400,0.011845158138966907,0.0
15,2016,Iowa,400,1200,26900,28500,2418600,2447100,0.011646438641657472,0.0
16,2016,Kansas,600,1000,26200,27800,2095000,2122800,0.01309591106086301,0.0
17,2016,Kentucky,500,900,30900,32300,3285300,3317600,0.009735953701470942,0.0
18,2016,Louisiana,400,500,17700,18600,3047300,3065900,0.006066734074823054,0.0
19,2016,Maine,300,1000,17900,19200,1011700,1030900,0.018624502861577262,0.0
20,2016,Maryland,3200,5000,85900,94100,4039100,4133200,0.022766863447207974,0.0
21,2016,Massachusetts,3600,5200,98300,107100,4623900,4731000,0.022637920101458466,1.0
22,2016,Michigan,1600,11600,64900,78100,6902900,6981000,0.011187508952872082,2.0
23,2016,Minnesota,1600,2400,58900,62900,3981400,4044300,0.015552753257671291,3.0
24,2016,Mississippi,100,200,11800,12100,2106700,2118800,0.005710779686615065,0.0
25,2016,Missouri,1400,2100,63800,67300,4597300,4664600,0.014427818033700638,0.0
26,2016,Montana,200,200,9800,10200,750600,760800,0.013406940063091483,0.0
27,2016,Nebraska,300,600,14500,15400,1468900,1484300,0.010375261065822273,0.0
28,2016,Nevada,2000,1400,30700,34100,1923600,1957700,0.01741839914185013,2.0
29,2016,New Hampshire,400,1000,19200,20600,1132600,1153200,0.017863336801942423,1.0
30,2016,New Jersey,4200,5500,80900,90600,6001300,6091900,0.014872207357310527,1.0
31,2016,New Mexico,500,600,20800,21900,1375900,1397800,0.015667477464587208,0.0
32,2016,New York,6100,12100,166500,184700,10013300,10198000,0.01811139439105707,2.0
33,2016,North Carolina,2900,3600,107400,113900,7095700,7209600,0.01579837993786063,1.0
34,2016,North Dakota,0,100,3400,3500,566300,569800,0.006142506142506142,0.0
35,2016,Ohio,2600,4400,91900,98900,8740000,8838900,0.011189175123601354,0.0
36,2016,Oklahoma,600,700,24800,26100,3277300,3303400,0.007900950535811588,1.0
37,2016,Oregon,7700,4300,83300,95300,3077900,3173200,0.030032774486322956,2.0
38,2016,Pennsylvania,3200,5400,103200,111800,8767400,8879200,0.01259122443463375,0.0
39,2016,Rhode Island,300,600,11000,11900,778200,790100,0.015061384634856347,1.0
40,2016,South Carolina,800,1200,39300,41300,3814700,3856000,0.01071058091286307,0.0
41,2016,South Dakota,100,200,5300,5600,667200,672800,0.008323424494649227,0.0
42,2016,Tennessee,2600,1700,48400,52700,4772600,4825300,0.010921600729488322,1.0
43,2016,Texas,11900,8000,205800,225700,18245400,18471100,0.012219088197237847,1.0
44,2016,Utah,2500,1700,32700,36900,2072100,2109000,0.017496443812233285,1.0
45,2016,Vermont,300,1200,11600,13100,521600,534700,0.024499719468861043,0.0
46,2016,Virginia,3100,4200,126700,134000,6554200,6688200,0.020035286026135583,2.0
