Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
349,US,Light-Duty Hybrid Electric Vehicle (HEV) and Advanced Lean Burn Vehicle Tax Credit,"A tax credit is available for qualified light-duty HEVs and advanced
lean burn technology vehicles placed into service after December 31,
2005. The Internal Revenue Service (IRS) must first acknowledge the
manufacturers\' certifications of qualified vehicles and credit amounts,
which are determined using a formula that accounts for improved fuel
economy and lifetime fuel savings potential. The credit begins to phase
out in the second quarter following the calendar quarter in which at
least 60,000 of a manufacturer\'s qualifying HEVs and/or lean burn
passenger automobiles and light trucks have been sold. See the [IRS
Qualified Hybrid
Vehicles](http://www.irs.gov/uac/Summary-of-the-Credit-for-Qualified-Hybrid-Vehicles)
and [IRS Qualified Advanced Lean Burn Technology
Vehicles](https://www.irs.gov/pub/irs-news/ir-08-113.pdf) websites for
the current list of qualified vehicles, credits, phase-out schedules,
and required forms. This tax credit expires December 31, 2010.
(Reference 26 [U.S. Code](http://www.gpo.gov/fdsys/) 30B)
",2005-08-08 00:00:00 UTC,2008-08-04 00:00:00 UTC,false,12,Incentives,U.S. Internal Revenue Service,,2010-12-31 00:00:00 UTC,,,"",HEV|PHEV,TAX,"",FLEET|IND,""
394,US,Heavy-Duty Hybrid Electric Vehicle (HEV) Tax Credit,"A tax credit of up to \$18,000 is available for the purchase of
qualified heavy-duty HEVs with a gross vehicle weight rating of more
than 8,500 pounds. Vehicle manufacturers must follow the procedures
published in [Notice
2007-23](http://www.irs.gov/irb/2007-23_IRB/ar08.html) to certify to the
Internal Revenue Service (IRS) that a heavy-duty vehicle meets the
requirements to claim the heavy-duty HEV credit and confirm the amount
of the allowable credit with respect to that vehicle. (Reference 26
[U.S. Code](http://www.gpo.gov/fdsys/) 30B)
",2005-08-08 00:00:00 UTC,,false,12,Incentives,U.S. Internal Revenue Service,,2009-12-31 00:00:00 UTC,,,"",HEV|PHEV,TAX,"",FLEET|IND,""
4177,AZ,Alternative Fuel Vehicle (AFV) and Energy Efficient Plate Programs,"Dedicated AFVs qualify for an AFV special license plate, which are
available from the Arizona Department of Transportation (ADOT).
Recognized alternative fuels are propane, natural gas, electricity, and
hydrogen. There is no limit to the number of AFV license plates ADOT can
issue. For more information, see the ADOT
[AFV](https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle)
website.

In addition, certain plug-in hybrid electric vehicles are eligible for
the Energy Efficient license plate from ADOT. ADOT has reached its
maximum limit of 10,000 vehicles and the issuance of Energy Efficient
license plates to new program participants has been suspended until
further notice (verified May 2019). For more information, including how
to apply, see the ADOT [Energy Efficient Plate
Program](https://azdot.gov/motor-vehicles/vehicle-services/plates-and-placards/energy-efficient-plate-program)
website.

(Reference [Arizona Revised
Statutes](http://www.azleg.gov/ArizonaRevisedStatutes.asp) 28-2416 and
28-2416.01)
",2007-01-01 00:00:00 UTC,2009-07-13 00:00:00 UTC,false,15,State Incentives,"",2014-07-29 16:38:47 UTC,,2020-06-12 00:00:00 UTC,,"",ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://www.azleg.gov/ArizonaRevisedStatutes.asp
4273,CO,High Occupancy Vehicle (HOV) Lane Exemption,"The Colorado Department of Transportation (CDOT) allows hybrid electric
vehicles that are certified as inherently low emission vehicles (ILEVs)
to travel in HOV and high occupancy toll (HOT) lanes. Qualifying
vehicles must obtain a permit and display an HOV exemption decal and a
toll transponder. CDOT reached its quota of 2,000 permits and will place
new applicants on a waiting list (verified June 2019). For more
information, visit the CDOT Hybrid Vehicle Use in the HOT/HOV Lanes
website. (Reference [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 42-4-1012)
",2008-05-01 00:00:00 UTC,,false,32,State Incentives,"",,,2019-10-01 00:00:00 UTC,,"",HEV|PHEV,EXEM,"",FLEET|GOV|IND,http://www.lexisnexis.com/hottopics/michie/
4286,CT,Alternative Fuel Fueling Infrastructure and Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Prior to January 1, 2008, a Corporation Business Tax credit is
available for 50% of the following expenditures: the construction
of, improvements to, or equipment for any compressed natural gas
(CNG), liquefied natural gas (LNG), or liquefied petroleum gas
(LPG) refueling station or an electric vehicle recharging
station; or the purchase and installation of equipment used in
dedicated or dual-fuel CNG, LNG, LPG, or electric vehicle
conversions. This credit may be carried forward for up to three
years. (Reference Connecticut General Statutes ( http://www.cga.ct.gov ) 12-217i)",,,false,10,State Incentives,"",,2008-01-01 00:00:00 UTC,,,"",ELEC|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,""
4368,IL,Alternative Fuel Vehicle (AFV) and Alternative Fuel Rebates,"The Illinois Alternate Fuels Rebate Program provides a rebate for 80%,
up to \$4,000, of the incremental cost of purchasing an AFV; 80%, up to
\$4,000, of the cost of converting a conventional vehicle to an AFV
using a federally certified conversion; and the incremental cost of
purchasing alternative fuels. Eligible fuels for the program include
E85, fuel blends containing at least 20% biodiesel (B20), natural gas,
propane, electricity, and hydrogen. A vehicle may receive one rebate in
its lifetime. Only AFVs purchased from an Illinois-based company or
vendor may qualify, except if the vehicle is a heavy-duty specialty
vehicle that is not sold in Illinois. To qualify for a fuel rebate, the
entity or individual must purchase the majority of E85 or biodiesel fuel
from Illinois retail stations or fuel suppliers. The E85 fuel rebate is
up to \$450 per year (depending on vehicle miles traveled) for up to
three years for each flexible fuel vehicle that uses E85 at least half
the time. The biodiesel fuel rebate (for B20 and higher blends) is for
80% of the incremental cost of the biodiesel fuel, as compared to
conventional diesel. Rebates are part of the Illinois Green Fleets
Program and are available to all qualified Illinois residents,
businesses, government units (except federal government), and
organizations located in Illinois. This program is suspended
indefinitely (verified August 2016). For more information, including a
list of eligible vehicles, see the Illinois Alternate Fuels Rebate
Program. (Reference 415 [Illinois Compiled
Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp) 120/30)
",2005-06-20 00:00:00 UTC,2015-03-16 00:00:00 UTC,false,10,State Incentives,"",2015-07-10 17:38:39 UTC,,2017-10-01 00:00:00 UTC,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,"",PURCH|FLEET|IND,""
4446,LA,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The following was repealed by Act ( http://www.legis.state.la.us/ ) No. 469, Section 2, 2009: The state offers an income tax credit
worth 20% of the cost of converting a vehicle to operate on an
alternative fuel, 20% of the incremental cost of purchasing an
Original Equipment Manufacturer (OEM) AFV or hybrid electric
vehicle (HEV), and 20% of the cost of constructing an alternative
fueling station. Only vehicles registered in Louisiana can
receive the tax credit. For the purpose of this incentive,
alternative fuels include compressed natural gas, liquefied
natural gas, liquefied petroleum gas, methanol, ethanol,
electricity, and any other fuels which meet or exceed federal
clean air standards. (Reference Louisiana Revised Statutes ( http://www.legis.state.la.us/ ) 47:38 and 47:287.757)",,,false,10,State Hybrid Incentives,"",,,,2009-07-09 00:00:00 UTC,"",ETH|ELEC|HEV|HY|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,http://www.legis.state.la.us/
4547,MT,Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Businesses and individuals are eligible for an income tax credit of up
to 50% of the equipment and labor costs for converting vehicles to
operate using alternative fuels. Qualified alternative fuels include
natural gas, propane, hydrogen, electricity, and fuels containing at
least 85% ethanol, methanol, ether, or another alcohol. The maximum
credit is \$500 for the conversion of vehicles with a gross vehicle
weight rating (GVWR) of 10,000 pounds (lbs.) or less and \$1,000 for
vehicles with a GVWR of more than 10,000 lbs. The credit is only
available for the year the business or individual converts the vehicle.
An alternative fuel seller may not receive a credit for converting its
own vehicles to operate on the alternative fuel it sells. (Reference
[Montana Code Annotated](https://leg.mt.gov/bills/mca/index.html)
15-30-2320)
",,,false,7,State Incentives,"",,,,2022-01-01 00:00:00 UTC,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,"",MAN|FLEET|IND,https://leg.mt.gov/bills/mca/index.html
4629,NY,Alternative Fuel Vehicle (AFV) Tax Exemption,"New York provides a partial sales and use tax exemption for the
incremental cost of new AFVs and for vehicles that are converted
to run on alternative fuels. This exemption is effective through
October 1, 2006. (Reference New York Tax Law ( http://public.leginfo.state.ny.us/menugetf.cgi ) Article 28,
Section 1115)",,,false,70,Laws and Regulations,"",,2006-09-01 00:00:00 UTC,,,"",ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,FUEL,FLEET|IND,""
4667,OK,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2009, Oklahoma provides a one-time income tax
credit for 50% of the cost of converting a vehicle to operate on
an alternative fuel, or for 50% of the incremental cost of a new
OEM AFV. The state also provides a tax credit for 10% of the
total vehicle cost, up to $1,500, when an AFV is resold, as long
as a tax credit has not been previously taken on the vehicle.
Additionally, the state provides a tax credit for up to 50% of
the cost of installing refueling infrastructure for AFVs. These
tax credits may be carried forward for up to three years. The
alternative fuels eligible for the credit include compressed
natural gas (CNG), liquefied natural gas (LNG), liquefied
petroleum gas (LPG), ethanol, methanol, and electricity. This tax
credit extends to low-speed electric vehicles as defined by NHTSA
in 49 C.F.R. 571.500 and to forklifts and other similar
self-propelled vehicles. (Reference Oklahoma Statutes ( http://www.lsb.state.ok.us/ ) Section 68-2357.22)",,,false,15,State Incentives,"",,2009-01-01 00:00:00 UTC,,,"",ETH|ELEC|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,""
